WKT,Latitude,Longitude,Name,Category,Time,Description,Classification
POINT (127.1491306 37.8307488),37.8307488,127.1491306,Islamic Restaurant,Indian,10:00am - 10:00pm,,Halal restaurant
POINT (126.9904696 37.5335312),37.5335312,126.9904696,Daba,Pakistani,12:00 pm - 09:00 pm. ,,Halal restaurant
POINT (126.9199901 37.5592289),37.5592289,126.9199901,Agak Agak,Malaysian,Tue ~ Sun: 11:30 am - 08:30 pm,,Halal restaurant
POINT (127.1487591 36.8078878),36.8078878,127.1487591,Melati,Indonesian,10:00 am - 09:00 pm,,Halal restaurant
POINT (126.6579559 37.45113930000001),37.4511393,126.6579559,Kebab House,Turkish,,,Halal restaurant
POINT (126.7677467 37.6620444),37.6620444,126.7677467,Royal india,Indian,12:00 pm - 11:00 pm. closed on Tuesday,,Halal restaurant
POINT (128.4138821 36.0041596),36.0041596,128.4138821,Gillan Arabic Restaurant,Arabic,,,Halal restaurant
POINT (126.7819397 37.4869917),37.4869917,126.7819397,Aladin Kebab & Curry,Indian,12:00 pm - 10:00 pm. closed on Tuesday,,Halal restaurant
POINT (127.087551 36.205904),36.205904,127.087551 ,Halal kafe Al-Baraka,Uzbek,,,Halal restaurant
POINT (127.1360485 35.8415533),35.8415533,127.1360485,Firdavs,Uzbek,10:30 am - 10:00 pm. ,,Halal restaurant
POINT (127.1311031 35.8386846),35.8386846,127.1311031,Sumaya,Uzbek,11:00 am - 09:30 pm. ,,Halal restaurant
POINT (127.4885186 36.9662168),36.9662168,127.4885186,Kebab Island,Turkish,10:30 am - 10:00 pm. closed on Monday,,Halal restaurant
POINT (126.9934319 37.5342457),37.5342457,126.9934319,Alpedo Kebab,Turkish,24 hours,,Halal restaurant
POINT (126.9975502 37.5334366),37.5334366,126.9975502,Central cafe,Cafe,11:00 am - 08:00 pm.  closed on Monday,,Halal restaurant
POINT (126.9962178 37.5331603),37.5331603,126.9962178,Bombay Grill,Indian,11:00 am - 10:00 pm.,,Halal restaurant
POINT (126.8064088 35.1730422),35.1730422,126.8064088,Tandor,Uzbek,,,Halal restaurant
POINT (126.3360044 33.31008199999999),33.3100819,126.3360044,Istanbul Kebab,Turkish,11:00am - 08:00pm,,Halal restaurant
POINT (128.5571741 35.8860534),35.8860534,128.5571741,Uzbekistan Restaurant,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (128.5855089 38.2018104),38.2018104,128.5855089,Samarqand Restaurant,Uzbek,11:00am - 11:00pm,,Halal restaurant
POINT (127.7457228 37.8725484),37.8725484,127.7457228,Assorti Restaurant,Uzbek,06:00am - 09:00pm,,Halal restaurant
POINT (126.7348211 37.344264),37.344264,126.7348211,Tashkent,Uzbek,10:00am-10:00pm,,Halal restaurant
POINT (126.7823479 36.9440249),36.9440249,126.7823479,Ocean Kebab,Turkish,11:00am-00:00am,,Halal restaurant
POINT (127.2703666 37.0079875),37.0079875,127.2703666,Istanbul Kebab,Turkish,10:00am - 10:00pm,,Halal restaurant
POINT (128.5569673 35.8841968),35.8841968,128.5569673,Tashkent,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (127.705251 34.7700678),34.7700678,127.705251 ,Uzbegim,Uzbek,11:00am - 11:00pm,,Halal restaurant
POINT (127.4511573 36.338337),36.338337,127.4511573,Silk Road,Uzbek,11:00am - 11:00 pm,,Halal restaurant
POINT (127.437897 37.278936),37.278936,127.437897 ,Kontinental,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (127.0339871 37.20886770000001),37.2088677,127.0339871,Ixlos Restaurant,Uzbek,,,Halal restaurant
POINT (126.6326347 36.8907531),36.8907531,126.6326347,Muslima Restaurant,Uzbek,10:00am - 10:00pm. Closed on Tuesdays.,,Halal restaurant
POINT (129.0482944 35.3624481),35.3624481,129.0482944,Al-Fayz,Uzbek,10:00am -10:00pm,,Halal restaurant
POINT (127.4431082 36.8578395),36.8578395,127.4431082,Musofirlar,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (126.9775865 37.55738909999999),37.5573890,126.9775865,Agak Agak,Malaysian,Mon ~ Fri 11:30 ~ 15:30,,Halal restaurant
POINT (127.2586339 37.4054226),37.4054226,127.2586339,Anhor,Uzbek,11:00am - 10:00pm,,Halal restaurant
POINT (127.5078812 36.9092284),36.9092284,127.5078812,Halal Food Restaurant,Uzbek,09:00am - 10:00pm,,Halal restaurant
POINT (127.4447923 36.3343964),36.3343964,127.4447923,Turon Choyxonasi,Uzbek,10:00am - 11:00pm.,,Halal restaurant
POINT (126.8194675 37.0851538),37.0851538,126.8194675,Turkistan Asia Restaurant,Asian,,,Halal restaurant
POINT (127.2705892 37.0086873),37.0086873,127.2705892,Samarqand,Uzbek,10:00am - 10:00pm. Closed on Tuesdays.,,Halal restaurant
POINT (127.2846737 36.7666945),36.7666945,127.2846737,Amina Restaurant,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (128.8980884 37.7589487),37.7589487,128.8980884,Asia Restaurant,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (128.7503784 35.8422564),35.8422564,128.7503784,Rayhon Delightful Cuisine,Uzbek,10:00am - 11:30pm,,Halal restaurant
POINT (127.4497918 36.3427232),36.3427232,127.4497918,Kebab House,Turkish,12:00pm ~ 00:0am. Closed on Tuesdays.,,Halal restaurant
POINT (127.1441607 36.8220115),36.8220115,127.1441607,Diana,Uzbek,11:30am - 10:00pm,,Halal restaurant
POINT (127.2090837 37.2341758),37.2341758,127.2090837,Oasis Cafe,Uzbek,,,Halal restaurant
POINT (126.8466815 37.7823014),37.7823014,126.8466815,Zumrad (Vodiy),Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (128.6768836 35.22727),35.22727,128.6768836,Mechta,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (127.159274 36.822039),36.822039,127.159274 ,Zomin Restaurant,Uzbek,09:00am - 10:00pm,,Halal restaurant
POINT (126.5677679 35.9621341),35.9621341,126.5677679,Halal Food Restaurant,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (126.9482591 35.940791),35.940791,126.9482591,Labi Hovuz,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (127.0422649 37.2745249),37.2745249,127.0422649,Caravan,Uzbek,11:00am-11:00pm,,Halal restaurant
POINT (127.1578881 36.8182874),36.8182874,127.1578881,Star Kebab,Turkish,10:00am - 01:00am,,Halal restaurant
POINT (127.2576271 37.40520759999999),37.4052075,127.2576271,Muslima,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (127.4909737 36.9646392),36.9646392,127.4909737,Evos,Turkish,,,Halal restaurant
POINT (127.0305932 37.5855142),37.5855142,127.0305932,Gold Kebab,Turkish,11:00am - 04:00am,,Halal restaurant
POINT (127.48629 36.9689177),36.9689177,127.48629 ,Turkistan restaurant halal,Uzbek,,,Halal restaurant
POINT (126.9112259 36.283359),36.283359,126.9112259,Zam Zam,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (126.9112989 36.28034590000001),36.2803459,126.9112989,Yulduz,Uzbek,,,Halal restaurant
POINT (127.1499555 36.8036954),36.8036954,127.1499555,Muslima Restaurant,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (126.9103238 37.1339053),37.1339053,126.9103238,Zam Zam,Uzbek,09:00am - 09:00pm,,Halal restaurant
POINT (128.5822226 38.19817099999999),38.1981709,128.5822226,Tashkent,Uzbek,,,Halal restaurant
POINT (128.7528256 35.84077380000001),35.8407738,128.7528256,Samarkand Chayhana,Uzbek,10:00am - 10:00pm,,Halal restaurant
POINT (128.8962336 37.7601456),37.7601456,128.8962336,Islam Restaurant,Arabic,,,Halal restaurant
POINT (127.027035 37.50554),37.50554,127.027035 ,Halal Guys,Arabic,11:00am - 10:00pm.,,Halal restaurant
POINT (126.900669 35.1769321),35.1769321,126.900669 ,Al-Aziz,Uzbek,11:00am  - 09:30pm,,Halal restaurant
POINT (126.9095384 37.1320276),37.1320276,126.9095384,Osiyo Restaurant,Uzbek,,,Halal restaurant
POINT (126.454969 34.75301779999999),34.75301779,126.454969 ,Surxon Restaurant,Uzbek,10:00am - 11:00pm,,Halal restaurant
POINT (127.0706163 35.914718),35.914718,127.0706163,Eski Shahar,Uzbek,11:00am - 08:00pm,,Halal restaurant
POINT (127.9540844 37.3478351),37.3478351,127.9540844,Sharqona Kebab,Uzbek,10:00am - 10:00pm. Closed on Sundays,,Halal restaurant
POINT (128.7539312 35.8412802),35.8412802,128.7539312,Kavsar Restaurant,Uzbek,11:00am - 11:00pm,,Halal restaurant
POINT (126.9102003 37.1338025),37.1338025,126.9102003,Muslim Bek,Uzbek,,,Halal restaurant
POINT (129.4032733 35.9623158),35.9623158,129.4032733,Turkish Kebab,Turkish,11:00am - 11:00pm,,Halal restaurant
POINT (126.7937091 37.3328467),37.3328467,126.7937091,Siti Sarah Restaurant,Indonesian,11:00am - 10:00pm,,Halal restaurant
POINT (126.9944165 37.533891),37.533891,126.9944165,Sis Kebab,Uzbek,10:00am~02:00pm,,Halal restaurant
POINT (127.002838 37.2676635),37.2676635,127.002838 ,Welcome to Dubai,Arabic,11:00 ~ 21:00,,Halal restaurant
POINT (126.9975498 37.5330098),37.5330098,126.9975498,Manis Kitchen,Korean,11:00am - 08:00pm.,,Halal restaurant
POINT (128.7542133 35.8406261),35.8406261,128.7542133,Gold Samarkand,Uzbek,11:00am ~ 10:00pm,,Halal restaurant
POINT (126.9966232 37.5330484),37.5330484,126.9966232,Hoor Restaurant,Indian,11:00 am - 10:00 pm,,Halal restaurant
POINT (126.5312552 33.5136067),33.5136067,126.5312552,Chennai Manna,Indian,11:00am ~ 10:00pm.,,Halal restaurant
POINT (127.0581759 37.2592813),37.2592813,127.0581759,Chennai Manna,Indian,11:30am ~ 10:30pm. Break time 03:30pm~05:30pm.,,Halal restaurant
POINT (128.8820719 35.2336377),35.2336377,128.8820719,New Istanbul,Turkish,,,Halal restaurant
POINT (127.1451961 36.8156926),36.8156926,127.1451961,Diana,Uzbek,,,Halal restaurant
POINT (126.9935895 37.5342544),37.5342544,126.9935895,Taksim Kebab,Turkish,24h,,Halal restaurant
POINT (126.98692 37.5607768),37.5607768,126.98692,Kimseri Restaurant,Malaysian,10:30 ~ 22:00. Closed on Mondays,,Halal restaurant
POINT (126.9096864 37.13345249999999),37.1334524,126.9096864,Zaytun Halal restaurant,Uzbek,10:00 ~ 22:00,,Halal restaurant
POINT (128.6829718 37.6450087),37.6450087,128.6829718,Efes Restaurant,Turkish,09:00 ~ 21:00.,,Halal restaurant
POINT (127.0570578 37.59135409999999),37.5913540,127.0570578,Curry 146,Indian,11:00 ~ 21:00,,Halal restaurant
POINT (127.2933461 36.60538349999999),36.6053834,127.2933461,Albaraka,Uzbek,,,Halal restaurant
POINT (127.4476031 36.6333634),36.6333634,127.4476031,Uzbek Halal Restaurant,Uzbek,,,Halal restaurant
POINT (127.0681007 37.143578),37.143578,127.0681007,Seleraku,Indonesian,,,Halal restaurant
